layer,subset,condition,d_new,percentile,mean_ce,tool_call_rate,valid_tool_format_rate,math_correct_rate,mean_abs_base_acts,mean_abs_delta_acts,n_examples,n_tokens
0,tool,raw,128,0.5,4.879310344827586,1.0,1.0,1.0,nan,nan,20,377
0,tool,full,128,0.5,5.76392572944297,1.0,1.0,1.0,46.05690783028065,1.4129781727932855,20,377
0,tool,no_delta,128,0.5,26.477453580901855,1.0,1.0,0.0,45.99978640160077,1.4003344549988184,20,377
0,copy,raw,128,0.5,1.1604166666666667,0.0,0.0,nan,nan,nan,20,540
0,copy,full,128,0.5,1.2787037037037037,0.0,0.0,nan,47.259621230870074,1.5331224501541216,20,540
0,copy,no_delta,128,0.5,17.78148148148148,1.0,1.0,nan,46.927168568007644,1.5149678592876532,20,540
0,tool_ood,raw,128,0.5,3.032981530343008,1.0,0.4,0.35,nan,nan,20,379
0,tool_ood,full,128,0.5,3.6312664907651717,1.0,0.4,0.4,46.928901125253404,1.4665822380147684,20,379
0,tool_ood,no_delta,128,0.5,26.348284960422163,1.0,1.0,0.0,46.575339413405125,1.4623485946080657,20,379
4,tool,raw,128,0.5,4.879310344827586,1.0,1.0,1.0,nan,nan,20,377
4,tool,full,128,0.5,4.435676392572944,1.0,1.0,1.0,25.33994729054509,28.34822336940993,20,377
4,tool,no_delta,128,0.5,21.52785145888594,0.45,0.25,0.0,25.365236490056652,28.445380473999123,20,377
4,copy,raw,128,0.5,1.1604166666666667,0.0,0.0,nan,nan,nan,20,540
4,copy,full,128,0.5,1.2644675925925926,0.0,0.0,nan,25.11778108322457,28.60412435074375,20,540
4,copy,no_delta,128,0.5,18.927777777777777,0.05,0.0,nan,25.381178553463663,28.59722585874061,20,540
4,tool_ood,raw,128,0.5,3.032981530343008,1.0,0.4,0.35,nan,nan,20,379
4,tool_ood,full,128,0.5,3.0296833773087073,1.0,0.4,0.4,25.19930684471923,28.491611780469984,20,379
4,tool_ood,no_delta,128,0.5,21.271767810026386,0.0,0.0,0.0,25.424961961999777,28.52921868628489,20,379
8,tool,raw,128,0.5,4.879310344827586,1.0,1.0,1.0,nan,nan,20,377
8,tool,full,128,0.5,5.228116710875332,1.0,1.0,1.0,29.59234046573651,19.122537018605016,20,377
8,tool,no_delta,128,0.5,16.986737400530505,1.0,0.8,0.0,29.486760169303984,18.735630832518662,20,377
8,copy,raw,128,0.5,1.1604166666666667,0.0,0.0,nan,nan,nan,20,540
8,copy,full,128,0.5,0.9756944444444444,0.0,0.0,nan,29.15575240605498,18.164951347651545,20,540
8,copy,no_delta,128,0.5,14.05,0.0,0.0,nan,29.23736556719427,18.427070589588112,20,540
8,tool_ood,raw,128,0.5,3.032981530343008,1.0,0.4,0.35,nan,nan,20,379
8,tool_ood,full,128,0.5,3.04089709762533,0.9,0.35,0.35,29.247303074253566,18.648333960595934,20,379
8,tool_ood,no_delta,128,0.5,16.796833773087073,0.75,0.15,0.0,29.33275032935062,18.826351163028086,20,379
12,tool,raw,128,0.5,4.879310344827586,1.0,1.0,1.0,nan,nan,20,377
12,tool,full,128,0.5,5.257294429708223,1.0,1.0,1.0,24.398985812239957,3.5432382524545387,20,377
12,tool,no_delta,128,0.5,22.360742705570292,0.0,0.0,0.0,25.27654844964509,3.9022081360790897,20,377
12,copy,raw,128,0.5,1.1604166666666667,0.0,0.0,nan,nan,nan,20,540
12,copy,full,128,0.5,1.5402777777777779,0.0,0.0,nan,23.24884583264181,2.5118846693063435,20,540
12,copy,no_delta,128,0.5,21.48148148148148,0.0,0.0,nan,23.884001740727474,2.7336309155243463,20,540
12,tool_ood,raw,128,0.5,3.032981530343008,1.0,0.4,0.35,nan,nan,20,379
12,tool_ood,full,128,0.5,3.4703166226912927,1.0,0.4,0.35,23.154981429692423,2.9088021903138577,20,379
12,tool_ood,no_delta,128,0.5,22.116094986807386,0.0,0.0,0.0,23.85281810198673,2.958248317598761,20,379
16,tool,raw,128,0.5,4.879310344827586,1.0,1.0,1.0,nan,nan,20,377
16,tool,full,128,0.5,8.505305039787798,0.95,0.95,0.95,58.74227224761023,53.168281846606476,20,377
16,tool,no_delta,128,0.5,13.681697612732096,0.0,0.0,0.0,53.99511517565004,53.447991870926394,20,377
16,copy,raw,128,0.5,1.1604166666666667,0.0,0.0,nan,nan,nan,20,540
16,copy,full,128,0.5,6.438888888888889,0.0,0.0,nan,51.44572359633772,54.28136145186751,20,540
16,copy,no_delta,128,0.5,14.227777777777778,0.0,0.0,nan,51.36012974634563,54.17247003137249,20,540
16,tool_ood,raw,128,0.5,3.032981530343008,1.0,0.4,0.35,nan,nan,20,379
16,tool_ood,full,128,0.5,7.70844327176781,1.0,0.4,0.35,52.28689480921625,53.17277589657551,20,379
16,tool_ood,no_delta,128,0.5,13.37730870712401,0.0,0.0,0.0,51.480174109986244,53.37643467573108,20,379
20,tool,raw,128,0.5,4.879310344827586,1.0,1.0,1.0,nan,nan,20,377
20,tool,full,128,0.5,4.404509283819628,0.7,0.7,0.7,90.77711160981943,85.41781385488228,20,377
20,tool,no_delta,128,0.5,18.79575596816976,0.15,0.15,0.15,87.70421684219703,85.81223239453081,20,377
20,copy,raw,128,0.5,1.1604166666666667,0.0,0.0,nan,nan,nan,20,540
20,copy,full,128,0.5,1.896064814814815,0.0,0.0,nan,84.18344164010834,87.18448756291316,20,540
20,copy,no_delta,128,0.5,15.661111111111111,0.0,0.0,nan,83.17328568680645,87.05191402957864,20,540
20,tool_ood,raw,128,0.5,3.032981530343008,1.0,0.4,0.35,nan,nan,20,379
20,tool_ood,full,128,0.5,2.9274406332453826,0.6,0.0,0.0,83.35589242370457,85.08965919597908,20,379
20,tool_ood,no_delta,128,0.5,18.61741424802111,0.15,0.15,0.1,83.57914491157939,84.83077062966561,20,379
24,tool,raw,128,0.5,4.879310344827586,1.0,1.0,1.0,nan,nan,20,377
24,tool,full,128,0.5,7.3063660477453585,1.0,1.0,1.0,485.2693947004138,247.66139815235866,20,377
24,tool,no_delta,128,0.5,9.586206896551724,0.45,0.45,0.45,479.5939155429296,253.98380403260927,20,377
24,copy,raw,128,0.5,1.1604166666666667,0.0,0.0,nan,nan,nan,20,540
24,copy,full,128,0.5,1.99375,0.0,0.0,nan,460.3795760024207,265.3758261056058,20,540
24,copy,no_delta,128,0.5,10.277777777777779,0.0,0.0,nan,459.6183733064834,264.5393758852188,20,540
24,tool_ood,raw,128,0.5,3.032981530343008,1.0,0.4,0.35,nan,nan,20,379
24,tool_ood,full,128,0.5,4.478891820580475,0.7,0.25,0.1,461.7220426419886,253.83376955404515,20,379
24,tool_ood,no_delta,128,0.5,8.870712401055409,0.65,0.15,0.05,458.31207881048897,252.15701206225435,20,379
25,tool,raw,128,0.5,4.879310344827586,1.0,1.0,1.0,nan,nan,20,377
25,tool,full,128,0.5,8.273209549071618,0.85,0.85,0.85,587.854322055853,412.3075880734224,20,377
25,tool,no_delta,128,0.5,14.843501326259947,0.1,0.1,0.1,593.8336375403026,417.2047613141592,20,377
25,copy,raw,128,0.5,1.1604166666666667,0.0,0.0,nan,nan,nan,20,540
25,copy,full,128,0.5,4.57037037037037,0.0,0.0,nan,551.6940102668658,420.23386342819424,20,540
25,copy,no_delta,128,0.5,14.214814814814815,0.0,0.0,nan,554.1076483874588,411.31064228006295,20,540
25,tool_ood,raw,128,0.5,3.032981530343008,1.0,0.4,0.35,nan,nan,20,379
25,tool_ood,full,128,0.5,7.108179419525066,0.7,0.35,0.35,551.4787489203242,394.42619937531066,20,379
25,tool_ood,no_delta,128,0.5,15.150395778364116,0.5,0.0,0.0,556.7504656317545,413.39121385237155,20,379
